model,dataset,signal,mean_delta,median_delta,frac_positive,n_prompts
mixtral,gsm8k,early25p_margin_slope,-0.0005307100740248465,-0.00023943800151457082,0.4084507042253521,71
mixtral,gsm8k,early25p_surprisal_mean,0.03210571165274528,0.024557314303170763,0.5633802816901409,71
mixtral,gsm8k,early25p_surprisal_slope,0.0011759737251688075,-0.00019999900067035718,0.4788732394366197,71
mixtral,gsm8k,early50p_entropy_mean,0.037626403177173265,0.02568186656713861,0.5915492957746479,71
mixtral,gsm8k,early50p_entropy_slope,0.00023341487802530634,0.0005610811015605809,0.5774647887323944,71
mixtral,gsm8k,early50p_margin_mean,-0.015388389088580796,-0.018238316286155354,0.36619718309859156,71
mixtral,gsm8k,early50p_margin_slope,-5.895307141184373e-05,-0.00015997676921921267,0.4225352112676056,71
mixtral,gsm8k,early50p_surprisal_mean,0.04284422810554541,0.06500243897472985,0.6197183098591549,71
mixtral,gsm8k,early50p_surprisal_slope,0.00043936607507567274,7.489985406000134e-05,0.5211267605633803,71
mixtral,gsm8k,entropy_diff_std,0.038887344904992995,0.04033793585406786,0.6197183098591549,71
mixtral,gsm8k,entropy_early_late_delta,0.026493208132285142,0.024095556156080167,0.5633802816901409,71
mixtral,gsm8k,entropy_max,0.04102178406097804,-0.02247368548779649,0.4647887323943662,71
mixtral,gsm8k,entropy_mean,0.036493610763827386,0.045798247569529826,0.6338028169014085,71
mixtral,gsm8k,entropy_min,0.0,0.0,0.0,71
mixtral,gsm8k,entropy_p90,0.1163436670956192,0.1346262459542763,0.6619718309859155,71
mixtral,gsm8k,entropy_range,0.04102178406097804,-0.02247368548779649,0.4647887323943662,71
mixtral,gsm8k,entropy_range_approx,0.004528173297150626,-0.03524220169210679,0.38028169014084506,71
mixtral,gsm8k,entropy_slope,3.969053625237322e-05,0.0001324488960079322,0.5633802816901409,71
mixtral,gsm8k,entropy_std,0.03392094412601713,0.021769049677775376,0.6619718309859155,71
mixtral,gsm8k,failure_risk,0.00048289738430583453,0.0,0.028169014084507043,71
mixtral,gsm8k,failure_risk_is_one,0.0,0.0,0.0,71
mixtral,gsm8k,failure_risk_is_zero,0.0,0.0,0.0,71
mixtral,gsm8k,focused_head_mean,-0.016729789857988578,-0.024855266479922644,0.39436619718309857,71
