model,dataset,signal,pp_easy,pp_medium,pp_hard,pp_range,best_band
mistral7b,gsm8k,l2_norm_slope,0.7738095238095238,0.5260802545870419,0.6106393606393605,0.24772926922248195,easy
mistral7b,gsm8k,margin_mean,0.6904761904761905,0.6760976579981104,0.6095154845154844,0.08096070596070604,easy
mistral7b,gsm8k,margin_std,0.6785714285714286,0.6793794440853265,0.6033966033966034,0.07598284068872307,medium
mistral7b,gsm8k,perplexity_mean,0.7976190476190477,0.6616279647953855,0.6187562437562438,0.17886280386280384,easy
mistral7b,gsm8k,risk_score,0.5119047619047619,0.5043011287355179,0.5126123876123876,0.008311258876869676,hard
mistral7b,gsm8k,surprisal_mean,0.7142857142857142,0.6502411615533787,0.5874125874125875,0.12687312687312668,easy
mistral7b,humaneval,collapsed_rate_mean,,0.5316666666666667,0.5717076053739261,0.04004093870725933,hard
mistral7b,humaneval,compound_density_per_100t,,0.5466666666666667,0.5884218416652252,0.04175517499855841,hard
mistral7b,humaneval,concentration_min_mean,,0.5050000000000001,0.5597503315458686,0.0547503315458685,hard
mistral7b,humaneval,early10_entropy_mean,,0.6399999999999999,0.5044938880239866,0.13550611197601325,medium
mistral7b,humaneval,early10_surprisal_mean,,0.8350000000000001,0.7000050452632187,0.13499495473678136,medium
mistral7b,humaneval,entropy_mean,,0.6783333333333333,0.5230640604278383,0.15526927290549508,medium
mistral7b,humaneval,entropy_std,,0.615,0.5241379807415095,0.09086201925849047,medium
mistral7b,humaneval,focused_head_rate,,0.5033333333333333,0.5201089776855216,0.016775644352188257,hard
mistral7b,humaneval,hidden_max_abs_last_layer_mean,,0.6316666666666666,0.5649541601798996,0.06671250648676696,medium
mistral7b,humaneval,l2_norm_slope,,0.545,0.5957951334832496,0.0507951334832496,hard
mistral7b,humaneval,margin_mean,,0.73,0.5097445655307618,0.22025543446923823,medium
mistral7b,humaneval,margin_std,,0.6916666666666667,0.5020397278440869,0.18962693882257975,medium
mistral7b,humaneval,perplexity_mean,,0.635,0.5245488093178804,0.11045119068211962,medium
mistral7b,humaneval,risk_score,,0.5083333333333333,0.5000576601510697,0.008275673182263632,medium
mistral7b,humaneval,surprisal_mean,,0.7216666666666667,0.5326140229487402,0.18905264371792652,medium
mixtral,gsm8k,collapsed_rate_mean,0.5888888888888889,0.5616847826086957,0.5220683539122724,0.06682053497661655,easy
mixtral,gsm8k,compound_density_per_100t,0.7472222222222222,0.5471807065217391,0.5095845555631353,0.23763766665908692,easy
mixtral,gsm8k,concentration_min_mean,0.6944444444444444,0.5714334239130435,0.5155194760897742,0.1789249683546702,easy
mixtral,gsm8k,early10_entropy_mean,0.6972222222222222,0.5233016304347826,0.5004434136025651,0.19677880861965713,easy
mixtral,gsm8k,early10_surprisal_mean,0.6027777777777779,0.5249830163043478,0.5546080905928099,0.07779476147343001,easy
mixtral,gsm8k,entropy_mean,0.6388888888888888,0.666983695652174,0.5866703049321236,0.08031339072005039,medium
mixtral,gsm8k,entropy_std,0.65,0.6484714673913043,0.5693430656934306,0.0806569343065694,easy
mixtral,gsm8k,focused_head_rate,0.5638888888888889,0.6269361413043478,0.5275257520976874,0.09941038920666045,medium
mixtral,gsm8k,hidden_max_abs_last_layer_mean,0.5194444444444445,0.524898097826087,0.5305955385769834,0.011151094132538897,hard
mixtral,gsm8k,l2_norm_slope,0.6083333333333333,0.5415421195652174,0.5261614025513337,0.08217193078199958,easy
mixtral,gsm8k,margin_mean,0.6194444444444445,0.6539402173913043,0.592264138072174,0.06167607931913022,medium
