model,dataset,difficulty_band,diff_lo,diff_hi,signal,predictive_power,n,class_balance
mistral7b,humaneval,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.5649541601798996,1570,0.05987261146496815
mixtral,gsm8k,easy,0.0,0.33,entropy_mean,0.6388888888888888,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,surprisal_mean,0.625,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,margin_mean,0.6194444444444445,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,l2_norm_slope,0.6083333333333333,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,compound_density_per_100t,0.7472222222222222,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,early10_surprisal_mean,0.6027777777777779,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,early10_entropy_mean,0.6972222222222222,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,risk_score,0.5083333333333333,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,concentration_min_mean,0.6944444444444444,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,focused_head_rate,0.5638888888888889,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,entropy_std,0.65,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,margin_std,0.6,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,perplexity_mean,0.6333333333333333,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,collapsed_rate_mean,0.5888888888888889,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,hidden_max_abs_last_layer_mean,0.5194444444444445,66,0.9090909090909091
mixtral,gsm8k,medium,0.33,0.67,entropy_mean,0.666983695652174,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,surprisal_mean,0.6595448369565218,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,margin_mean,0.6539402173913043,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,l2_norm_slope,0.5415421195652174,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,compound_density_per_100t,0.5471807065217391,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,early10_surprisal_mean,0.5249830163043478,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,early10_entropy_mean,0.5233016304347826,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,risk_score,0.5175611413043478,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,concentration_min_mean,0.5714334239130435,448,0.8214285714285714
