model,dataset,signal,correlation,p_value,raw_auroc,predictive_power,auroc_oriented,direction,n,missing_rate,class_balance,p_value_fdr
mixtral,gsm8k,risk_score,0.07095281359101788,0.050855590687504615,0.5132349859603536,0.5132349859603536,0.5132349859603536,higher_better,758,0.0,0.7058047493403694,0.08821331682256163
mixtral,gsm8k,risk_score_is_one,0.06198417644003851,0.08812737364320535,0.5132601315954904,0.5132601315954904,0.5132601315954904,higher_better,758,0.0,0.7058047493403694,0.13906929450525332
mixtral,gsm8k,surprisal_diff_std,-0.17611403470964093,1.0666945294236497e-06,0.38428397803947867,0.6157160219605213,0.6157160219605213,lower_better,758,0.0,0.7058047493403694,4.965117701705765e-06
mixtral,gsm8k,surprisal_early_late_delta,-0.07906124830254242,0.029516850840569587,0.4486232764762583,0.5513767235237417,0.5513767235237417,lower_better,758,0.0,0.7058047493403694,0.05487759337312794
mixtral,gsm8k,surprisal_max,-0.11449890482308568,0.0015910184855218246,0.4284941955492226,0.5715058044507775,0.5715058044507775,lower_better,758,0.0,0.7058047493403694,0.004150761936018631
mixtral,gsm8k,surprisal_mean,-0.20933294222425575,5.941942925829931e-09,0.3646536188759901,0.6353463811240099,0.6353463811240099,lower_better,758,0.0,0.7058047493403694,4.0670832586882176e-08
mixtral,gsm8k,surprisal_p90,-0.1981578000240431,3.770456840183721e-08,0.3704496877750304,0.6295503122249696,0.6295503122249696,lower_better,758,0.0,0.7058047493403694,2.1977347527917726e-07
mixtral,gsm8k,surprisal_range,-0.11449890482308568,0.0015910184855218246,0.4284941955492226,0.5715058044507775,0.5715058044507775,lower_better,758,0.0,0.7058047493403694,0.004150761936018631
mixtral,gsm8k,surprisal_slope,-0.07394462271580847,0.04182515969317884,0.4342567369347471,0.5657432630652529,0.5657432630652529,lower_better,758,0.0,0.7058047493403694,0.07353499543882258
mixtral,gsm8k,surprisal_std,-0.19162505064340174,1.0582908595114006e-07,0.3749381836469553,0.6250618163530447,0.6250618163530447,lower_better,758,0.0,0.7058047493403694,5.705951550865635e-07
mixtral,gsm8k,surprisal_volatility,0.21191124720515928,5.319233014287545e-09,0.6243132640613239,0.6243132640613239,0.6243132640613239,higher_better,744,0.01846965699208447,0.7058047493403694,3.813346352168789e-08
mixtral,gsm8k,topk_mass_mean,0.1002039275511472,0.005759047437196672,0.5621097187879804,0.5621097187879804,0.5621097187879804,higher_better,758,0.0,0.7058047493403694,0.0136989106318612
mixtral,gsm8k,topk_mass_std,-0.08558294346346475,0.01843868383036448,0.4366288085159884,0.5633711914840116,0.5633711914840116,lower_better,758,0.0,0.7058047493403694,0.0363138154187299
mixtral,gsm8k,warning_density_per_100t,0.02834419606916108,0.43584104194694256,0.5240769456435187,0.5240769456435187,0.5240769456435187,higher_better,758,0.0,0.7058047493403694,0.5340703676887724
mixtral,humaneval,attn_entropy_norm_mean,-0.008201223457708701,0.7415181172900078,0.48856810602493006,0.5114318939750699,0.5114318939750699,lower_better,1620,0.0,0.04135802469135803,0.7977067039052741
mixtral,humaneval,attn_entropy_norm_std,-0.04352603797908169,0.07988271557912772,0.4420332337027035,0.5579667662972965,0.5579667662972965,lower_better,1620,0.0,0.04135802469135803,0.1288880722685677
mixtral,humaneval,collapsed_rate_mean,0.007880643784408982,0.7512816306467247,0.48276326032426403,0.517236739675736,0.517236739675736,lower_better,1620,0.0,0.04135802469135803,0.7994723931388666
mixtral,humaneval,collapsed_rate_mean_zscore,0.007880643784408968,0.7512816306467247,0.48276326032426403,0.517236739675736,0.517236739675736,lower_better,1620,0.0,0.04135802469135803,0.7994723931388666
mixtral,humaneval,compound_density_per_100t,-0.023386922491384052,0.3468547460980439,0.5070830650354152,0.5070830650354152,0.5070830650354152,higher_better,1620,0.0,0.04135802469135803,0.44350794609769645
mixtral,humaneval,concentration_max_mean,0.01248662532434062,0.6155207775908442,0.5130560974906537,0.5130560974906537,0.5130560974906537,higher_better,1620,0.0,0.04135802469135803,0.6913922623286045
mixtral,humaneval,concentration_min_mean,-0.01576087166489447,0.5261378830488351,0.46766489509951853,0.5323351049004814,0.5323351049004814,lower_better,1620,0.0,0.04135802469135803,0.6234637551879054
mixtral,humaneval,cs_confident_repetition_risk,-0.02708720009006144,0.2758906357614689,0.4825326042037078,0.5174673957962922,0.5174673957962922,lower_better,1620,0.0,0.04135802469135803,0.36354631637000073
mixtral,humaneval,early10_entropy_mean,0.19183840975584557,6.817125605578963e-15,0.7308387233183729,0.7308387233183729,0.7308387233183729,higher_better,1620,0.0,0.04135802469135803,7.351133778015982e-14
mixtral,humaneval,early10_entropy_slope,-0.03482447185707594,0.16121378002338183,0.4721098307560715,0.5278901692439285,0.5278901692439285,lower_better,1620,0.0,0.04135802469135803,0.23545217985356218
mixtral,humaneval,early10_margin_mean,-0.16739079448909888,1.2014322737488092e-11,0.2742549326772448,0.7257450673227552,0.7257450673227552,lower_better,1620,0.0,0.04135802469135803,1.0948263114302529e-10
mixtral,humaneval,early10_margin_slope,0.010576331596774381,0.6705651853888163,0.5204995627144382,0.5204995627144382,0.5204995627144382,higher_better,1620,0.0,0.04135802469135803,0.7416387893557369
mixtral,humaneval,early10_surprisal_mean,0.2077699381247826,2.9511830524616366e-17,0.7955377651344052,0.7955377651344052,0.7955377651344052,higher_better,1620,0.0,0.04135802469135803,4.657110816933363e-16
mixtral,humaneval,early10_surprisal_slope,-0.1448436583522976,4.734293347382032e-09,0.28882471095904894,0.7111752890409511,0.7111752890409511,lower_better,1620,0.0,0.04135802469135803,3.480781586086562e-08
mixtral,humaneval,early25p_entropy_mean,0.09596764806343144,0.00010947392040802325,0.6454334893465705,0.6454334893465705,0.6454334893465705,higher_better,1620,0.0,0.04135802469135803,0.0003405270504999569
mixtral,humaneval,early25p_entropy_slope,-0.06051692770800694,0.014908028091914782,0.3531857155229654,0.6468142844770346,0.6468142844770346,lower_better,1618,0.0012345679012345512,0.04135802469135803,0.030915045434195074
mixtral,humaneval,early25p_margin_mean,-0.09451545107186728,0.00013909714071062636,0.3502609297363793,0.6497390702636208,0.6497390702636208,lower_better,1620,0.0,0.04135802469135803,0.0004185853490222105
mixtral,humaneval,early25p_margin_slope,0.06139032386853454,0.013518542120141584,0.634698846194559,0.634698846194559,0.634698846194559,higher_better,1618,0.0012345679012345512,0.04135802469135803,0.028254364169394183
mixtral,humaneval,early25p_surprisal_mean,0.11821885262191376,1.8305512817821554e-06,0.6953128754168628,0.6953128754168628,0.6953128754168628,higher_better,1620,0.0,0.04135802469135803,8.056916185803092e-06
mixtral,humaneval,early25p_surprisal_slope,-0.0893321530813876,0.00032098504836829123,0.3043679090043015,0.6956320909956986,0.6956320909956986,lower_better,1618,0.0012345679012345512,0.04135802469135803,0.0009148780894021341
mixtral,humaneval,early50p_entropy_mean,0.07071655368041097,0.004404264897503074,0.6093069744644453,0.6093069744644453,0.6093069744644453,higher_better,1620,0.0,0.04135802469135803,0.010917852063925246
mixtral,humaneval,early50p_entropy_slope,-0.027518063404921706,0.26832186758582,0.3930956934580158,0.6069043065419841,0.6069043065419841,lower_better,1620,0.0,0.04135802469135803,0.35647689595077114
mixtral,humaneval,early50p_margin_mean,-0.06839466046492965,0.005888394604250734,0.38351385378324093,0.616486146216759,0.616486146216759,lower_better,1620,0.0,0.04135802469135803,0.013955279519964192
mixtral,humaneval,early50p_margin_slope,0.031997374896841464,0.19802284389210248,0.5885479236143814,0.5885479236143814,0.5885479236143814,higher_better,1620,0.0,0.04135802469135803,0.27376235042348357
mixtral,humaneval,early50p_surprisal_mean,0.08152822915942792,0.0010220568995942896,0.6341409501110034,0.6341409501110034,0.6341409501110034,higher_better,1620,0.0,0.04135802469135803,0.002755295058489606
mixtral,humaneval,early50p_surprisal_slope,-0.09454487218108913,0.00013842846879811937,0.331933378823846,0.668066621176154,0.668066621176154,lower_better,1620,0.0,0.04135802469135803,0.00041851971641300575
mixtral,humaneval,entropy_diff_std,-0.0015379283807686196,0.9506801510209087,0.4949880347137462,0.5050119652862538,0.5050119652862538,lower_better,1620,0.0,0.04135802469135803,0.9565941799541647
mixtral,humaneval,entropy_early_late_delta,-0.08385094219631543,0.0007294051373573037,0.37725730651315215,0.6227426934868479,0.6227426934868479,lower_better,1620,0.0,0.04135802469135803,0.002034160016681791
mixtral,humaneval,entropy_max,0.09057215586463611,0.00026208791767118295,0.6236316806181584,0.6236316806181584,0.6236316806181584,higher_better,1620,0.0,0.04135802469135803,0.0007570128693448901
mixtral,humaneval,entropy_mean,0.03254538552635098,0.19044554489858126,0.5631084756513632,0.5631084756513632,0.5631084756513632,higher_better,1620,0.0,0.04135802469135803,0.26613016749326585
mixtral,humaneval,entropy_p90,0.03754137222983893,0.13094720865590403,0.5635217345340265,0.5635217345340265,0.5635217345340265,higher_better,1620,0.0,0.04135802469135803,0.19934786823616452
mixtral,humaneval,entropy_range,0.09057215586463611,0.00026208791767118295,0.6236316806181584,0.6236316806181584,0.6236316806181584,higher_better,1620,0.0,0.04135802469135803,0.0007570128693448901
mixtral,humaneval,entropy_range_approx,0.08996099047528637,0.0002884943948093097,0.6236172646106235,0.6236172646106235,0.6236172646106235,higher_better,1620,0.0,0.04135802469135803,0.0008295816597405483
mixtral,humaneval,entropy_slope,-0.03379953315208051,0.1739111408264582,0.3848497371481293,0.6151502628518707,0.6151502628518707,lower_better,1620,0.0,0.04135802469135803,0.24621555386152835
mixtral,humaneval,entropy_std,0.0419075275060074,0.09176031928547253,0.5612343946718437,0.5612343946718437,0.5612343946718437,higher_better,1620,0.0,0.04135802469135803,0.14305765440409812
mixtral,humaneval,failure_risk,-0.01963132513081471,0.42975452226623306,0.49388280746941404,0.506117192530586,0.506117192530586,lower_better,1620,0.0,0.04135802469135803,0.5308966931082869
mixtral,humaneval,focused_head_mean,-0.01792691155078084,0.4708816647174756,0.4530278421158854,0.5469721578841146,0.5469721578841146,lower_better,1620,0.0,0.04135802469135803,0.5693480133118182
mixtral,humaneval,focused_head_mean_zscore,-0.01792691155078085,0.4708816647174756,0.4530278421158854,0.5469721578841146,0.5469721578841146,lower_better,1620,0.0,0.04135802469135803,0.5693480133118182
mixtral,humaneval,focused_head_rate,-0.01792691155078084,0.4708816647174756,0.4530278421158854,0.5469721578841146,0.5469721578841146,lower_better,1620,0.0,0.04135802469135803,0.5693480133118182
mixtral,humaneval,hidden_max_abs_last_layer_mean,0.013400276471833956,0.5899154158121741,0.511797099499284,0.511797099499284,0.511797099499284,higher_better,1620,0.0,0.04135802469135803,0.6803480820507606
mixtral,humaneval,hidden_max_abs_last_layer_mean_zscore,0.013400276471833956,0.5899154158121741,0.511797099499284,0.511797099499284,0.511797099499284,higher_better,1620,0.0,0.04135802469135803,0.6803480820507606
mixtral,humaneval,hidden_std_last_layer_mean,-0.01267545100989438,0.6101889609742104,0.4696735254826959,0.5303264745173041,0.5303264745173041,lower_better,1620,0.0,0.04135802469135803,0.689697675671205
mixtral,humaneval,hidden_std_last_layer_mean_zscore,-0.01267545100989439,0.6101889609742104,0.4696735254826959,0.5303264745173041,0.5303264745173041,lower_better,1620,0.0,0.04135802469135803,0.689697675671205
mixtral,humaneval,high_entropy_frac,0.14212613918485645,9.179135893278209e-09,0.5956646260007112,0.5956646260007112,0.5956646260007112,higher_better,1620,0.0,0.04135802469135803,5.938900922951001e-08
mixtral,humaneval,high_entropy_steps,0.103074417948092,3.231062831740518e-05,0.5924931043430626,0.5924931043430626,0.5924931043430626,higher_better,1620,0.0,0.04135802469135803,0.00010945013885529398
mixtral,humaneval,l2_norm_cross_layer_max,0.07369156576543019,0.002999642231236502,0.6022767681233241,0.6022767681233241,0.6022767681233241,higher_better,1620,0.0,0.04135802469135803,0.007581127045351628
mixtral,humaneval,l2_norm_cross_layer_max_zscore,0.0736915657654302,0.002999642231236502,0.6022767681233241,0.6022767681233241,0.6022767681233241,higher_better,1620,0.0,0.04135802469135803,0.007581127045351628
mixtral,humaneval,l2_norm_last_layer_mean,-0.01257964839381395,0.6128915535251505,0.4698176855580437,0.5301823144419563,0.5301823144419563,lower_better,1620,0.0,0.04135802469135803,0.689697675671205
mixtral,humaneval,l2_norm_last_layer_mean_zscore,-0.012579648393813954,0.6128915535251505,0.4698176855580437,0.5301823144419563,0.5301823144419563,lower_better,1620,0.0,0.04135802469135803,0.689697675671205
mixtral,humaneval,l2_norm_slope,-0.030633200024581968,0.21783703652361694,0.43234567663934026,0.5676543233606597,0.5676543233606597,lower_better,1620,0.0,0.04135802469135803,0.29734295913666703
mixtral,humaneval,late50p_entropy_mean,-0.019178645526913143,0.4404694576967576,0.490917915253097,0.509082084746903,0.509082084746903,lower_better,1620,0.0,0.04135802469135803,0.5387216240638982
mixtral,humaneval,late50p_margin_mean,0.008177975272060926,0.7422247847773957,0.49510816810986913,0.5048918318901309,0.5048918318901309,lower_better,1620,0.0,0.04135802469135803,0.7977067039052741
mixtral,humaneval,late50p_surprisal_mean,-0.011550884779334346,0.6422388583750392,0.4984238498428656,0.5015761501571344,0.5015761501571344,lower_better,1620,0.0,0.04135802469135803,0.7189075110184263
mixtral,humaneval,margin_diff_std,0.017944218138070202,0.47045343854697086,0.5233683482138567,0.5233683482138567,0.5233683482138567,higher_better,1620,0.0,0.04135802469135803,0.5693480133118182
mixtral,humaneval,margin_early_late_delta,0.06933488779916776,0.005240252707853189,0.5994272039672853,0.5994272039672853,0.5994272039672853,higher_better,1620,0.0,0.04135802469135803,0.012650908589481393
mixtral,humaneval,margin_mean,-0.03658508744422923,0.14105396328999406,0.4291068802798628,0.5708931197201372,0.5708931197201372,lower_better,1620,0.0,0.04135802469135803,0.21125443113107906
mixtral,humaneval,margin_min,-0.021343960830762593,0.39060950757448054,0.5014464060893216,0.5014464060893216,0.5014464060893216,higher_better,1620,0.0,0.04135802469135803,0.48977587480753665
mixtral,humaneval,margin_range,0.0213439608307626,0.39060950757448054,0.4985535939106784,0.5014464060893216,0.5014464060893216,lower_better,1620,0.0,0.04135802469135803,0.48977587480753665
mixtral,humaneval,margin_slope,0.04217888300352568,0.08967546041889912,0.6110465060403072,0.6110465060403072,0.6110465060403072,higher_better,1620,0.0,0.04135802469135803,0.14116793890761004
mixtral,humaneval,margin_std,0.04600602651442662,0.06413247656057812,0.5728152540581062,0.5728152540581062,0.5728152540581062,higher_better,1620,0.0,0.04135802469135803,0.10615274531319452
mixtral,humaneval,max_compound_severity,-0.027087200090061433,0.2758906357614689,0.4825326042037078,0.5174673957962922,0.5174673957962922,lower_better,1620,0.0,0.04135802469135803,0.36354631637000073
mixtral,humaneval,n_compound_signals,-0.02708720009006144,0.2758906357614689,0.4825326042037078,0.5174673957962922,0.5174673957962922,lower_better,1620,0.0,0.04135802469135803,0.36354631637000073
mixtral,humaneval,n_warning_signals,0.06609990654228881,0.0077833283618038845,0.5822481283216884,0.5822481283216884,0.5822481283216884,higher_better,1620,0.0,0.04135802469135803,0.017921044306359834
mixtral,humaneval,perplexity_max,0.13200693024726173,9.690916062888981e-08,0.6236316806181584,0.6236316806181584,0.6236316806181584,higher_better,1620,0.0,0.04135802469135803,5.405191976456182e-07
mixtral,humaneval,perplexity_mean,0.04655761881287853,0.061002474506492606,0.5772457737071244,0.5772457737071244,0.5772457737071244,higher_better,1620,0.0,0.04135802469135803,0.10198604911033776
mixtral,humaneval,repetition_detected,-0.012664135058780446,0.6105079086253775,0.4980682549903413,0.5019317450096588,0.5019317450096588,lower_better,1620,0.0,0.04135802469135803,0.689697675671205
mixtral,humaneval,risk_score,-0.03478069744553746,0.1617413691949572,0.4819992119249214,0.5180007880750785,0.5180007880750785,lower_better,1620,0.0,0.04135802469135803,0.23569068889445344
mixtral,humaneval,risk_score_is_one,-0.02708720009006144,0.2758906357614689,0.4825326042037078,0.5174673957962922,0.5174673957962922,lower_better,1620,0.0,0.04135802469135803,0.36354631637000073
mixtral,humaneval,surprisal_diff_std,0.01512145868120208,0.543060168830435,0.5213212751439198,0.5213212751439198,0.5213212751439198,higher_better,1620,0.0,0.04135802469135803,0.6388362349696208
mixtral,humaneval,surprisal_early_late_delta,-0.0946208662094072,0.00013671527633554758,0.33969880154924026,0.6603011984507597,0.6603011984507597,lower_better,1620,0.0,0.04135802469135803,0.00041528067506619383
mixtral,humaneval,surprisal_max,0.02276307439916598,0.35987279096624425,0.5245937088543118,0.5245937088543118,0.5245937088543118,higher_better,1620,0.0,0.04135802469135803,0.4574414454914736
mixtral,humaneval,surprisal_mean,0.04440057228444651,0.07400374297920582,0.5830890620945498,0.5830890620945498,0.5830890620945498,higher_better,1620,0.0,0.04135802469135803,0.12000105691114328
