model,signal,correlation,p_value,raw_auroc,predictive_power,direction,n
mistral7b,entropy_mean,0.12678107635179856,1.6237759553951234e-14,0.596127720282807,0.596127720282807,higher_more_failure,3640
mistral7b,entropy_p90,0.18391615249449964,4.676106474186363e-29,0.6319124149726887,0.6319124149726887,higher_more_failure,3640
mistral7b,entropy_range,-0.16193821946029935,8.219765763276168e-23,0.4123985780832499,0.58760142191675,lower_more_failure,3640
mistral7b,entropy_range_approx,-0.19042803532076877,4.563920767058145e-31,0.39474111499081743,0.6052588850091826,lower_more_failure,3640
mistral7b,entropy_slope,0.2297055939079061,8.611878684650419e-45,0.648797597559726,0.648797597559726,higher_more_failure,3640
mistral7b,entropy_std,-0.025273788312119534,0.12737177323872936,0.49973153833421347,0.5002684616657865,lower_more_failure,3640
mistral7b,failure_risk,0.002070195120102673,0.9006366805428754,0.5001442410007015,0.5001442410007015,higher_more_failure,3640
mistral7b,focused_head_mean,0.11618533660448195,2.0482758390606792e-12,0.6859228665337231,0.6859228665337231,higher_more_failure,3640
mistral7b,focused_head_mean_zscore,0.11618533660448195,2.0482758390606792e-12,0.6859228665337231,0.6859228665337231,higher_more_failure,3640
mistral7b,focused_head_rate,0.11618533660448195,2.0482758390606792e-12,0.6859228665337231,0.6859228665337231,higher_more_failure,3640
mistral7b,hidden_max_abs_last_layer_mean,-0.6445433614159732,0.0,0.11806480598403102,0.881935194015969,lower_more_failure,3640
mistral7b,hidden_max_abs_last_layer_mean_zscore,-0.6445433614159733,0.0,0.11806480598403102,0.881935194015969,lower_more_failure,3640
mistral7b,hidden_std_last_layer_mean,-0.0017089896574783462,0.9179057235268787,0.4807289293849658,0.5192710706150342,lower_more_failure,3640
mistral7b,hidden_std_last_layer_mean_zscore,-0.001708989657478356,0.9179057235268787,0.4807289293849658,0.5192710706150342,lower_more_failure,3640
mistral7b,high_entropy_frac,-0.13023690422262213,3.0602199132678136e-15,0.45415090919122575,0.5458490908087743,lower_more_failure,3640
mistral7b,high_entropy_steps,-0.12271854822402187,1.0904253167791473e-13,0.4541211151484579,0.5458788848515421,lower_more_failure,3640
mistral7b,l2_norm_cross_layer_max,-0.587010860050317,0.0,0.14824695951005354,0.8517530404899465,lower_more_failure,3640
mistral7b,l2_norm_cross_layer_max_zscore,-0.587010860050317,0.0,0.14824695951005354,0.8517530404899465,lower_more_failure,3640
