model,signal,best_outcome,best_pp,mean_other_pp,specificity_gap,pp_correct,pp_incorrect,pp_format_failure,dir_correct,dir_incorrect,dir_format_failure
mistral7b,early10_surprisal_slope,incorrect,0.7757765937906332,0.6586899034294112,0.11708669036122199,0.5518007541202139,0.7757765937906332,0.7655790527386086,higher,lower,higher
mistral7b,early25p_entropy_mean,incorrect,0.5335395106365495,0.5256386362683193,0.00790087436823017,0.5285043772335355,0.5335395106365495,0.5227728953031031,higher,lower,higher
mistral7b,early25p_entropy_slope,format_failure,0.6280981469366522,0.5649455960159345,0.0631525509207177,0.5121344864861688,0.6177567055457003,0.6280981469366522,lower,lower,higher
mistral7b,early25p_margin_mean,incorrect,0.5613580391626104,0.5411134464886117,0.020244592673998696,0.5318634529475871,0.5613580391626104,0.5503634400296363,lower,higher,lower
mistral7b,early25p_margin_slope,format_failure,0.6288872949689054,0.5676140046497027,0.0612732903192027,0.5083102401470909,0.6269177691523146,0.6288872949689054,lower,higher,lower
mistral7b,early25p_surprisal_mean,correct,0.5472912445776024,0.5100172906423817,0.037273953935220705,0.5472912445776024,0.5197317540035092,0.5003028272812542,higher,lower,higher
mistral7b,early25p_surprisal_slope,format_failure,0.6366151445168715,0.5752552993260807,0.06135984519079085,0.5332898292243261,0.6172207694278353,0.6366151445168715,lower,lower,higher
mistral7b,early50p_entropy_mean,format_failure,0.5390319300707017,0.5284584351586479,0.010573494912053838,0.5331399164162608,0.5237769539010348,0.5390319300707017,lower,lower,higher
mistral7b,early50p_entropy_slope,format_failure,0.613663957878475,0.5842170835706382,0.02944687430783688,0.6010702598709133,0.5673639072703631,0.613663957878475,lower,lower,higher
mistral7b,early50p_margin_mean,format_failure,0.5760629300628197,0.5451483918706659,0.03091453819215384,0.5295677293574106,0.5607290543839212,0.5760629300628197,higher,higher,lower
mistral7b,early50p_margin_slope,format_failure,0.6043729457480433,0.5776282971778444,0.02674464857019898,0.5938112465470451,0.5614453478086436,0.6043729457480433,higher,higher,lower
mistral7b,early50p_surprisal_mean,format_failure,0.520010719549779,0.5143120324504094,0.005698687099369604,0.5160461819632846,0.5125778829375341,0.520010719549779,lower,lower,higher
mistral7b,early50p_surprisal_slope,format_failure,0.6081093394077448,0.5834134566024993,0.024695882805245484,0.6073790905436618,0.5594478226613367,0.6081093394077448,lower,lower,higher
mistral7b,entropy_diff_std,correct,0.5283272743573406,0.5100168080883258,0.01831046626901478,0.5283272743573406,0.5038560815154606,0.5161775346611912,lower,lower,higher
mistral7b,entropy_early_late_delta,format_failure,0.6049735558165381,0.564551754719739,0.04042180109679916,0.5484236741718603,0.5806798352676177,0.6049735558165381,lower,lower,higher
mistral7b,entropy_max,incorrect,0.6165780388242517,0.5834954546772856,0.033082584146966076,0.5793894874378211,0.6165780388242517,0.58760142191675,lower,higher,lower
mistral7b,entropy_mean,format_failure,0.596127720282807,0.5601206488582319,0.036007071424575154,0.5477681730699278,0.572473124646536,0.596127720282807,lower,lower,higher
mistral7b,entropy_p90,format_failure,0.6319124149726887,0.5742341538893991,0.05767826108328955,0.5374737928160901,0.6109945149627081,0.6319124149726887,lower,lower,higher
mistral7b,entropy_range,incorrect,0.6165780388242517,0.5834954546772856,0.033082584146966076,0.5793894874378211,0.6165780388242517,0.58760142191675,lower,higher,lower
mistral7b,entropy_range_approx,incorrect,0.6311943822777345,0.5895228743394578,0.041671507938276675,0.5737868636697332,0.6311943822777345,0.6052588850091826,lower,higher,lower
mistral7b,entropy_slope,format_failure,0.648797597559726,0.5844212158430153,0.06437638171671067,0.5445964883659578,0.6242459433200729,0.648797597559726,lower,lower,higher
