model,outcome,signal,raw_auroc,predictive_power,direction,n_total,n_outcome
llama,format_failure,early25p_margin_mean,0.2648913852781143,0.7351086147218857,lower,3640,359
llama,format_failure,early25p_margin_slope,0.6157517028489343,0.6157517028489343,higher,3640,359
llama,format_failure,early25p_surprisal_mean,0.6969162367272019,0.6969162367272019,higher,3640,359
llama,format_failure,early25p_surprisal_slope,0.3947833351303487,0.6052166648696513,lower,3640,359
llama,format_failure,early50p_entropy_mean,0.6818663037544603,0.6818663037544603,higher,3640,359
llama,format_failure,early50p_entropy_slope,0.3646053626900556,0.6353946373099444,lower,3640,359
llama,format_failure,early50p_margin_mean,0.2879124256396455,0.7120875743603545,lower,3640,359
llama,format_failure,early50p_margin_slope,0.6212318922402046,0.6212318922402046,higher,3640,359
llama,format_failure,early50p_surprisal_mean,0.6665243204098213,0.6665243204098213,higher,3640,359
llama,format_failure,early50p_surprisal_slope,0.3859148520348864,0.6140851479651136,lower,3640,359
llama,format_failure,entropy_diff_std,0.5649790852880474,0.5649790852880474,higher,3640,359
llama,format_failure,entropy_early_late_delta,0.35517655039269735,0.6448234496073026,lower,3640,359
llama,format_failure,entropy_max,0.40293570052611516,0.5970642994738848,lower,3640,359
llama,format_failure,entropy_mean,0.6370594942264869,0.6370594942264869,higher,3640,359
llama,format_failure,entropy_p90,0.6470656153985257,0.6470656153985257,higher,3640,359
llama,format_failure,entropy_range,0.40293570052611516,0.5970642994738848,lower,3640,359
llama,format_failure,entropy_range_approx,0.3694904145502212,0.6305095854497789,lower,3640,359
llama,format_failure,entropy_slope,0.3620838812815238,0.6379161187184762,lower,3640,359
llama,format_failure,entropy_std,0.5742601744321785,0.5742601744321785,higher,3640,359
llama,format_failure,failure_risk,0.5038089650974337,0.5038089650974337,higher,3640,359
llama,format_failure,failure_risk_is_zero,0.4929160805142124,0.5070839194857877,lower,3640,359
llama,format_failure,focused_head_mean,0.27543873352016635,0.7245612664798337,lower,3640,359
llama,format_failure,focused_head_mean_zscore,0.27543873352016635,0.7245612664798337,lower,3640,359
llama,format_failure,focused_head_rate,0.27543873352016635,0.7245612664798337,lower,3640,359
llama,format_failure,hidden_max_abs_last_layer_mean,0.44158950112872375,0.5584104988712763,lower,3640,359
llama,format_failure,hidden_max_abs_last_layer_mean_zscore,0.44158950112872375,0.5584104988712763,lower,3640,359
llama,format_failure,hidden_std_last_layer_mean,0.5707869823640629,0.5707869823640629,higher,3640,359
llama,format_failure,hidden_std_last_layer_mean_zscore,0.5707869823640629,0.5707869823640629,higher,3640,359
llama,format_failure,high_entropy_frac,0.42605819443253506,0.573941805567465,lower,3640,359
llama,format_failure,high_entropy_steps,0.42386611867602697,0.576133881323973,lower,3640,359
llama,format_failure,l2_norm_cross_layer_max,0.44020947822314516,0.5597905217768548,lower,3640,359
llama,format_failure,l2_norm_cross_layer_max_zscore,0.44020947822314516,0.5597905217768548,lower,3640,359
llama,format_failure,l2_norm_last_layer_mean,0.5702877799841919,0.5702877799841919,higher,3640,359
llama,format_failure,l2_norm_last_layer_mean_zscore,0.5702877799841919,0.5702877799841919,higher,3640,359
