model,dataset,signal,predictive_power_in_confident,confident_correct_mean,confident_wrong_mean,delta,n_confident_correct,n_confident_wrong
mistral7b,humaneval,l2_norm_cross_layer_max,0.6227702807507368,466.50245884486606,472.6680057289546,6.165546884088542,21,307
mistral7b,humaneval,l2_norm_cross_layer_max_zscore,0.6227702807507368,0.7552159060420165,1.0241168570338293,0.26890095099181277,21,307
mistral7b,humaneval,l2_norm_last_layer_mean,0.5571583682332868,358.04199266343716,359.51037002314774,1.468377359710587,21,307
mistral7b,humaneval,l2_norm_last_layer_mean_zscore,0.5571583682332868,-0.39660102430280364,-0.10441467935016407,0.29218634495263957,21,307
mistral7b,humaneval,l2_norm_slope,0.5067473243369008,-0.09932610389835624,-0.1440768100926944,-0.04475070619433817,21,307
mistral7b,humaneval,late50p_entropy_mean,0.5476190476190477,0.068063093915724,0.07726332044108708,0.009200226525363078,21,307
mistral7b,humaneval,late50p_margin_mean,0.5305568481464247,0.9651667777645869,0.9619924999251092,-0.003174277839477768,21,307
mistral7b,humaneval,late50p_surprisal_mean,0.585155886458818,0.05773302670612995,0.0756103403213199,0.017877313615189946,21,307
mistral7b,humaneval,margin_diff_std,0.5183806421591437,0.2340325448674643,0.23135178903635398,-0.0026807558311103263,21,307
mistral7b,humaneval,margin_early_late_delta,0.5055064371025283,0.0694836837561263,0.07002652869348232,0.0005428449373560129,21,307
mistral7b,humaneval,margin_min,0.5855436637195595,0.08038598015194848,0.05950895480884403,-0.020877025343104448,21,307
mistral7b,humaneval,margin_range,0.5855436637195595,0.9196140198480516,0.940491045191156,0.020877025343104427,21,307
mistral7b,humaneval,margin_slope,0.5264464091825656,0.0007598590759041192,0.0007626404910944037,2.7814151902844824e-06,21,307
mistral7b,humaneval,margin_std,0.5149682022646193,0.1785572088070809,0.17857342851479052,1.6219707709624887e-05,21,307
mistral7b,humaneval,max_compound_severity,0.501628664495114,0.4000000000000001,0.3986970684039087,-0.0013029315960913501,21,307
mistral7b,humaneval,n_compound_signals,0.501628664495114,1.0,0.996742671009772,-0.0032573289902280145,21,307
mistral7b,humaneval,n_warning_signals,0.5176050876376609,1.5238095238095237,1.488599348534202,-0.035210175275321776,21,307
mistral7b,humaneval,perplexity_max,0.5238095238095238,8.393612469408847,7.697593570157715,-0.6960188992511318,21,307
mistral7b,humaneval,perplexity_mean,0.501628664495114,1.1717778492358502,1.1622997194240945,-0.009478129811755664,21,307
mistral7b,humaneval,risk_score,0.501628664495114,1.0,0.9992003844265752,-0.0007996155734247834,21,307
mistral7b,humaneval,risk_score_is_one,0.501628664495114,1.0,0.996742671009772,-0.0032573289902280145,21,307
mistral7b,humaneval,surprisal_diff_std,0.6007445323406235,0.7637999260314418,0.6793806486554452,-0.08441927737599653,21,307
mistral7b,humaneval,surprisal_early_late_delta,0.6872964169381108,-0.27469273322191556,-0.16121054608958824,0.11348218713232733,21,307
mistral7b,humaneval,surprisal_max,0.5853109973631145,4.663140740319808,4.25108698012563,-0.41205376019417805,21,307
mistral7b,humaneval,surprisal_mean,0.635024042190166,0.14183115104355837,0.12310187781600446,-0.01872927322755391,21,307
mistral7b,humaneval,surprisal_p90,0.5145028695517295,0.153519686899625,0.1511427101658425,-0.00237697673378251,21,307
mistral7b,humaneval,surprisal_range,0.5853109973631145,4.663140740319808,4.25108698012563,-0.41205376019417805,21,307
mistral7b,humaneval,surprisal_slope,0.6764386536373507,-0.0033340065436325964,-0.0015874076499453123,0.0017465988936872841,21,307
mistral7b,humaneval,surprisal_std,0.6520862416627888,0.5928070288510237,0.5081423518846808,-0.08466467696634283,21,307
mistral7b,humaneval,surprisal_volatility,0.584404924760602,4.122268328405036,4.014731118907349,-0.10753720949768653,17,215
mistral7b,humaneval,topk_mass_mean,0.5020939972080037,0.9994090626488327,0.9995920183324606,0.0001829556836279167,21,307
mistral7b,humaneval,topk_mass_std,0.5324957344501319,0.005882948612963802,0.004484773893733995,-0.001398174719229807,21,307
mistral7b,humaneval,warning_density_per_100t,0.5941523189080191,1.1262811857931954,1.043980516547911,-0.08230066924528434,21,307
mixtral,gsm8k,attn_entropy_norm_mean,0.510989010989011,0.39562545697976786,0.3962851957154533,0.0006597387356854223,126,26
mixtral,gsm8k,attn_entropy_norm_std,0.5146520146520146,0.09700257751284883,0.09693169253848051,-7.088497436831542e-05,126,26
mixtral,gsm8k,collapsed_rate_mean,0.5576923076923077,0.018257289072263108,0.018059784358722943,-0.00019750471354016558,126,26
mixtral,gsm8k,collapsed_rate_mean_zscore,0.5576923076923077,-0.6455877632558831,-0.7207002532644465,-0.07511249000856346,126,26
mixtral,gsm8k,compound_density_per_100t,0.5158730158730158,0.4327380474001217,0.41537852431819117,-0.017359523081930506,126,26
mixtral,gsm8k,concentration_max_mean,0.6422466422466423,0.9392488758335585,0.9385045165918592,-0.000744359241699355,126,26
mixtral,gsm8k,concentration_min_mean,0.5802808302808303,0.14285104024339826,0.13881370554666994,-0.0040373346967283175,126,26
mixtral,gsm8k,cs_confident_repetition_risk,0.5073260073260073,0.9761904761904762,0.9615384615384616,-0.0146520146520146,126,26
mixtral,gsm8k,early10_entropy_mean,0.5474664224664225,0.5639614686867097,0.5443241265472087,-0.01963734213950097,126,26
mixtral,gsm8k,early10_entropy_slope,0.5151098901098901,0.07912513277931696,0.08723140818456478,0.008106275405247818,126,26
mixtral,gsm8k,early10_margin_mean,0.5059523809523809,0.7941028385999657,0.7946282346661273,0.000525396066161643,126,26
mixtral,gsm8k,early10_margin_slope,0.5007631257631258,-0.03579679587573716,-0.0385470526757496,-0.0027502568000124378,126,26
mixtral,gsm8k,early10_surprisal_mean,0.5016788766788767,0.5647810522439957,0.554095011524924,-0.010686040719071643,126,26
mixtral,gsm8k,early10_surprisal_slope,0.5395299145299145,0.08152336691695275,0.09717957258532403,0.01565620566837128,126,26
mixtral,gsm8k,early25p_entropy_mean,0.5561660561660562,0.34043608009461634,0.32097303158931295,-0.019463048505303393,126,26
