model,dataset,signal,direction,random_acc,signal_acc,oracle_acc,lift_vs_random,lift_vs_oracle,n_prompts,n_ties,tie_rate
mistral7b,gsm8k,surprisal_early_late_delta,lower_better,0.7181286549707601,0.7236842105263158,1.0,0.005555555555555758,-0.2763157894736842,76,0,0.0
mistral7b,gsm8k,surprisal_max,lower_better,0.7181286549707601,0.8157894736842105,1.0,0.09766081871345045,-0.1842105263157895,76,0,0.0
mistral7b,gsm8k,surprisal_mean,lower_better,0.7181286549707601,0.7236842105263158,1.0,0.005555555555555758,-0.2763157894736842,76,0,0.0
mistral7b,gsm8k,surprisal_p90,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,0,0.0
mistral7b,gsm8k,surprisal_range,lower_better,0.7181286549707601,0.8157894736842105,1.0,0.09766081871345045,-0.1842105263157895,76,0,0.0
mistral7b,gsm8k,surprisal_slope,lower_better,0.7181286549707601,0.7105263157894737,1.0,-0.007602339181286388,-0.2894736842105263,76,0,0.0
mistral7b,gsm8k,surprisal_std,lower_better,0.7181286549707601,0.7105263157894737,1.0,-0.007602339181286388,-0.2894736842105263,76,0,0.0
mistral7b,gsm8k,surprisal_volatility,higher_better,0.7179429429429429,0.7567567567567568,1.0,0.03881381381381388,-0.2432432432432432,74,0,0.0
mistral7b,gsm8k,topk_mass_mean,higher_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,0,0.0
mistral7b,gsm8k,topk_mass_std,lower_better,0.7181286549707601,0.7105263157894737,1.0,-0.007602339181286388,-0.2894736842105263,76,0,0.0
mistral7b,gsm8k,warning_density_per_100t,higher_better,0.7181286549707601,0.7763157894736842,1.0,0.05818713450292412,-0.22368421052631582,76,0,0.0
mistral7b,humaneval,attn_entropy_norm_mean,higher_better,0.1599999999999999,0.15384615384615385,1.0,-0.006153846153846038,-0.8461538461538461,65,0,0.0
mistral7b,humaneval,attn_entropy_norm_std,lower_better,0.1599999999999999,0.1076923076923077,1.0,-0.052307692307692194,-0.8923076923076922,65,1,0.015384615384615385
mistral7b,humaneval,collapsed_rate_mean,higher_better,0.1599999999999999,0.15384615384615385,1.0,-0.006153846153846038,-0.8461538461538461,65,2,0.03076923076923077
mistral7b,humaneval,collapsed_rate_mean_zscore,higher_better,0.1599999999999999,0.15384615384615385,1.0,-0.006153846153846038,-0.8461538461538461,65,2,0.03076923076923077
mistral7b,humaneval,compound_density_per_100t,higher_better,0.1599999999999999,0.13974358974358975,1.0,-0.020256410256410146,-0.8602564102564103,65,8,0.12307692307692308
