model,dataset,signal,mean_temp_0.7,mean_temp_0.8,temp_delta
mistral7b,humaneval,compound_density_per_100t,0.9019941742146877,0.8571807221904539,-0.04481345202423381
mistral7b,humaneval,concentration_max_mean,0.7600605438245857,0.7595254407690318,-0.0005351030555538205
mistral7b,humaneval,concentration_min_mean,0.17143276295884194,0.170268790493214,-0.0011639724656279382
mistral7b,humaneval,cs_attention_bottleneck,0.0,0.0,0.0
mistral7b,humaneval,cs_confident_confusion,0.0,0.0,0.0
mistral7b,humaneval,cs_confident_repetition_risk,0.9695121951219512,0.9670731707317073,-0.0024390243902439046
mistral7b,humaneval,cs_context_loss,0.0,0.0,0.0
mistral7b,humaneval,cs_degenerating_generation,0.0,0.0,0.0
mistral7b,humaneval,early10_entropy_mean,0.532591953754523,0.6878709229467008,0.15527896919217787
mistral7b,humaneval,early10_entropy_slope,-0.07853349614611053,-0.0879456785785217,-0.009412182432411167
mistral7b,humaneval,early10_margin_mean,0.7788376860783959,0.7383796357381635,-0.04045805034023242
mistral7b,humaneval,early10_margin_slope,0.028083615677771265,0.029744135729379333,0.0016605200516080672
mistral7b,humaneval,early10_surprisal_mean,0.6275130397791683,0.6942863321499276,0.06677329237075935
mistral7b,humaneval,early10_surprisal_slope,-0.1213365087000606,-0.10477825206990175,0.01655825663015885
mistral7b,humaneval,early25p_entropy_mean,0.35884325828077035,0.44354855801213,0.08470529973135965
mistral7b,humaneval,early25p_entropy_slope,-0.017242010259962224,-0.02351509248820187,-0.006273082228239645
mistral7b,humaneval,early25p_margin_mean,0.8445083088196688,0.8207137037725444,-0.023794605047124384
mistral7b,humaneval,early25p_margin_slope,0.006420787550114898,0.0073585741805529134,0.0009377866304380155
mistral7b,humaneval,early25p_surprisal_mean,0.3913365518976591,0.4413208417905303,0.049984289892871236
mistral7b,humaneval,early25p_surprisal_slope,-0.026112296255096836,-0.023145657150462004,0.002966639104634832
mistral7b,humaneval,early50p_entropy_mean,0.28556856927764046,0.3478317004382164,0.06226313116057591
mistral7b,humaneval,early50p_entropy_slope,-0.00785778704586659,-0.010113891503382086,-0.002256104457515496
mistral7b,humaneval,early50p_margin_mean,0.8725191467850916,0.8538475540577543,-0.018671592727337316
mistral7b,humaneval,early50p_margin_slope,0.0028634415553186253,0.0033253425386652437,0.00046190098334661844
mistral7b,humaneval,early50p_surprisal_mean,0.30276197204808347,0.34780655883608225,0.045044586787998775
mistral7b,humaneval,early50p_surprisal_slope,-0.010234384474410371,-0.009234841236125432,0.000999543238284939
mistral7b,humaneval,entropy_diff_std,0.6432346634931037,0.7245833793310698,0.0813487158379661
mistral7b,humaneval,entropy_early_late_delta,-0.21633469903481115,-0.2706717956233275,-0.05433709658851635
mistral7b,humaneval,entropy_max,2.8739961591143137,3.265836269263262,0.3918401101489484
mistral7b,humaneval,entropy_mean,0.22345862611490735,0.2731886672702391,0.04973004115533175
mistral7b,humaneval,entropy_min,0.0,0.0,0.0
