model,dataset,question_id,signal,n_runs,std_across_runs,range_across_runs
llama,gsm8k,gsm8k_0127,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0128,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0129,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0130,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0131,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0132,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0133,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0134,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0135,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0136,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0137,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0138,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0139,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0140,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0141,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0142,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0143,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0144,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0145,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0146,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0147,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0148,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0149,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0150,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0151,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0152,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0153,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0154,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0155,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0156,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0157,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0158,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0159,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0160,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0161,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0162,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0163,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0164,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0165,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0166,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0167,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0168,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0169,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0170,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0171,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0172,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0173,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0174,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0175,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0176,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0177,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0178,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0179,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0180,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0181,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0182,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0183,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0184,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0185,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0186,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0187,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
