model,dataset,tier,fold,auroc,splitter,n_prompt_groups
mixtral,humaneval,T5: + health_signals,4,0.6990729140566274,StratifiedGroupKFold,162
mixtral,humaneval,T6: full_corevital,0,0.883363471971067,StratifiedGroupKFold,162
mixtral,humaneval,T6: full_corevital,1,0.7757454272112252,StratifiedGroupKFold,162
mixtral,humaneval,T6: full_corevital,2,0.8251851851851852,StratifiedGroupKFold,162
mixtral,humaneval,T6: full_corevital,3,0.8103354978354979,StratifiedGroupKFold,162
mixtral,humaneval,T6: full_corevital,4,0.8053119518917564,StratifiedGroupKFold,162
qwen,gsm8k,T1: entropy_only,0,0.49461110113166873,StratifiedGroupKFold,200
qwen,gsm8k,T1: entropy_only,1,0.5787545787545787,StratifiedGroupKFold,200
qwen,gsm8k,T1: entropy_only,2,0.5030909295268068,StratifiedGroupKFold,200
qwen,gsm8k,T1: entropy_only,3,0.44419459544014706,StratifiedGroupKFold,200
qwen,gsm8k,T1: entropy_only,4,0.47050179211469534,StratifiedGroupKFold,200
qwen,gsm8k,T2: confidence_baseline,0,0.5923298006107419,StratifiedGroupKFold,200
qwen,gsm8k,T2: confidence_baseline,1,0.5796992481203008,StratifiedGroupKFold,200
qwen,gsm8k,T2: confidence_baseline,2,0.5545689558278071,StratifiedGroupKFold,200
qwen,gsm8k,T2: confidence_baseline,3,0.5035196120605374,StratifiedGroupKFold,200
qwen,gsm8k,T2: confidence_baseline,4,0.537741935483871,StratifiedGroupKFold,200
qwen,gsm8k,T3: + prompt_signals,0,0.5820729297646847,StratifiedGroupKFold,200
qwen,gsm8k,T3: + prompt_signals,1,0.6477154424522845,StratifiedGroupKFold,200
qwen,gsm8k,T3: + prompt_signals,2,0.4621969952418418,StratifiedGroupKFold,200
qwen,gsm8k,T3: + prompt_signals,3,0.40784482421493096,StratifiedGroupKFold,200
qwen,gsm8k,T3: + prompt_signals,4,0.6111469534050179,StratifiedGroupKFold,200
qwen,gsm8k,T4: + early_window,0,0.6511226872642357,StratifiedGroupKFold,200
qwen,gsm8k,T4: + early_window,1,0.6354732986311934,StratifiedGroupKFold,200
qwen,gsm8k,T4: + early_window,2,0.5163163613202952,StratifiedGroupKFold,200
qwen,gsm8k,T4: + early_window,3,0.4869969887763482,StratifiedGroupKFold,200
qwen,gsm8k,T4: + early_window,4,0.5992114695340501,StratifiedGroupKFold,200
qwen,gsm8k,T5: + health_signals,0,0.6075085324232081,StratifiedGroupKFold,200
qwen,gsm8k,T5: + health_signals,1,0.6415268941584731,StratifiedGroupKFold,200
qwen,gsm8k,T5: + health_signals,2,0.5166160878198643,StratifiedGroupKFold,200
qwen,gsm8k,T5: + health_signals,3,0.46959446247702474,StratifiedGroupKFold,200
qwen,gsm8k,T5: + health_signals,4,0.5977060931899641,StratifiedGroupKFold,200
qwen,gsm8k,T6: full_corevital,0,0.6350996946290641,StratifiedGroupKFold,200
qwen,gsm8k,T6: full_corevital,1,0.6826682089839985,StratifiedGroupKFold,200
qwen,gsm8k,T6: full_corevital,2,0.5772357723577236,StratifiedGroupKFold,200
qwen,gsm8k,T6: full_corevital,3,0.5191818857299284,StratifiedGroupKFold,200
qwen,gsm8k,T6: full_corevital,4,0.6022939068100359,StratifiedGroupKFold,200
qwen,humaneval,T1: entropy_only,0,0.6562379853902346,StratifiedGroupKFold,164
qwen,humaneval,T1: entropy_only,1,0.7441948784722223,StratifiedGroupKFold,164
